x,x,x,x,o,o,x,o,o,Xwin
x,x,x,x,o,o,o,x,o,Xwin
x,x,x,x,o,o,o,o,x,Xwin
x,x,x,o,x,o,x,o,o,Xwin
x,x,x,o,x,o,o,x,o,Xwin
x,x,x,o,x,o,o,o,x,Xwin
x,x,x,o,o,x,x,o,o,Xwin
x,x,x,o,o,x,o,x,o,Xwin
x,x,x,o,o,x,o,o,x,Xwin
x,x,o,x,x,o,o,o,x,Xwin
x,x,o,x,o,x,x,o,o,Xwin
x,x,o,x,o,o,x,o,x,Xwin
x,x,o,o,x,x,o,x,o,Xwin
x,x,o,o,x,x,o,o,x,Xwin
x,x,o,o,x,o,x,o,x,Xwin
x,x,o,o,x,o,o,x,x,Xwin
x,x,o,o,x,x,x,o,o,Owin
x,x,o,o,o,x,x,x,o,Owin
x,x,o,o,o,x,x,o,x,Owin
x,o,x,x,x,o,o,x,o,Owin
x,o,x,x,o,x,o,x,o,Owin
x,o,x,x,o,o,o,x,x,Owin
x,o,x,o,x,x,o,x,o,Owin
x,o,x,o,o,x,x,x,o,Owin
x,o,o,o,x,x,x,x,o,Owin
o,x,x,x,x,o,o,o,x,Owin
o,x,x,x,o,o,x,o,x,Owin
o,x,x,x,o,o,o,x,x,Owin
o,x,o,x,x,o,x,o,x,Owin
o,x,o,x,o,x,x,o,x,Owin
o,x,o,o,x,x,x,o,x,Owin
o,o,x,x,x,o,o,x,x,Owin
